shot,time,dip_dt,li,kappa,dli_dt,ip,ip_MA,Li,vc_minus_vb,Vind
1120814016,1.2000000476837158,1180234.125,1.161449670791626,1.7140169143676758,-0.6704704165458679,-735484.25,-0.73548425,4.962370384451628e-07,-0.21614009507672508,0.11664619604417621
1120814016,1.2200000286102295,3128775.5,1.1575212478637695,1.7062058448791504,-0.6590551733970642,-730322.625,-0.730322625,4.945585938181556e-07,-0.35485079941343445,0.22673402699600378
1120814016,1.2400000095367432,-1563293.0,1.135087490081787,1.6766237020492554,-1.3353062868118286,-725628.5625,-0.7256285625,4.849736227230763e-07,-0.3936651437160202,0.24569714901604298
1120814016,1.2599999904632568,-1562943.75,1.1041090488433838,1.6219654083251953,-0.9822646379470825,-723435.5625,-0.7234355625,4.717378792187409e-07,-0.36263729619970625,0.20343270128381885
1120814016,1.2799999713897705,393839.34375,1.0957969427108765,1.6018344163894653,0.8341171145439148,-724839.5625,-0.7248395624999999,4.6818647700634374e-07,-0.012108211907216707,0.01809532306599987
1120814016,1.2999999523162842,-388802.46875,1.137473702430725,1.650181531906128,1.9699832201004028,-722642.5,-0.7226425,4.85993147700281e-07,0.2855342273619447,-0.10531484390378916
1120814016,1.3200000524520874,-5545.6875,1.1745964288711548,1.655979037284851,2.1372482776641846,-714504.9375,-0.7145049375,5.01854077614922e-07,0.550852834788797,-0.226378251786696
1120814016,1.340000033378601,394268.3125,1.222963809967041,1.6455354690551758,1.959719181060791,-713099.875,-0.7130998749999999,5.225193604558151e-07,0.5838851927297549,-0.2895156760450785
1120814016,1.3600000143051147,-1957133.125,1.2529851198196411,1.675064206123352,0.9343871474266052,-721555.6875,-0.7215556875,5.353461632576488e-07,0.6138748616505061,-0.3947229474599512
1120814016,1.3799999952316284,-2340587.0,1.2603392601013184,1.7059245109558105,-0.7425225973129272,-734075.25,-0.73407525,5.384882682368533e-07,0.18019282046507482,-0.1805902447242651
1120814016,1.399999976158142,-7733.091796875,1.2232842445373535,1.7339351177215576,-0.824428379535675,-733292.375,-0.733292375,5.226562682411338e-07,-0.07351394522619902,0.006561231526081642
1120814016,1.4199999570846558,1954557.0,1.2273621559143066,1.7336946725845337,-0.3794066309928894,-728126.5,-0.7281265,5.243985827947742e-07,-0.35326540770430787,0.2174115000271133
1120814016,1.440000057220459,-782799.125,1.2081079483032227,1.716710090637207,-0.9173762202262878,-724687.125,-0.724687125,5.161720954980665e-07,-0.26127877171958463,0.17730526431760288
1120814016,1.4600000381469727,-1166099.0,1.1906670331954956,1.6890459060668945,-1.4618470668792725,-722494.125,-0.722494125,5.087203493927592e-07,-0.4521296316804167,0.2520996390986776
1120814016,1.4800000190734863,391457.96875,1.1496341228485107,1.6548607349395752,-0.20473022758960724,-722019.25,-0.72201925,4.911887675933558e-07,-0.1800797234453365,0.11381396522461361
1120814016,1.5,391458.6875,1.1824778318405151,1.6873304843902588,1.5120341777801514,-719042.3125,-0.7190423125,5.052214590578411e-07,-0.09579904915000854,0.14330626889622228
1120814016,1.5199999809265137,1176679.75,1.2101154327392578,1.69065260887146,2.0204503536224365,-700259.0,-0.700259,5.170298064745429e-07,0.16850636000310104,0.11272015728872191
1120814016,1.5399999618530273,-195.5625,1.2632957696914673,1.68099045753479,2.065779685974121,-677246.125,-0.6772461249999999,5.397514564748337e-07,-0.08171843710220512,0.3471010590977868
1120814016,1.559999942779541,1964947.25,1.2927465438842773,1.7127089500427246,3.038114070892334,-650783.5,-0.6507835,5.5233449414998e-07,0.12687260174933596,0.27539792432880994
1120814016,1.5800000429153442,-777289.125,1.384820580482483,1.7841354608535767,3.478409767150879,-627759.5,-0.6277595,5.916737340569861e-07,-0.03370547497458911,0.40781651593993745
1120814016,1.600000023841858,466.8125,1.4318832159042358,1.7748339176177979,1.4146370887756348,-597231.0,-0.597231,6.117815556961255e-07,-0.17239303073356407,0.49757369006742486
1120814016,1.6200000047683716,2346014.0,1.441406011581421,1.7882262468338013,0.09168991446495056,-569520.0,-0.56952,6.158502330081125e-07,-0.6994473174119147,0.8076122682744362
1120814016,1.6399999856948853,3131353.5,1.4355508089065552,1.8085604906082153,1.930721402168274,-538209.9375,-0.5382099375,6.133485590157379e-07,-0.6735221818359588,0.8303558754207243
1120814016,1.659999966621399,2577.697265625,1.5186347961425781,1.7762067317962646,2.230485439300537,-502821.75,-0.50282175,6.488467409904406e-07,-0.6328339234842815,0.7808866165730001
1120814016,1.6799999475479126,396496.6875,1.5247701406478882,1.7383753061294556,4.105362892150879,-481990.625,-0.481990625,6.514681074290575e-07,-0.27731560198156485,0.6851334934506733
1120814016,1.7000000476837158,3130886.75,1.682849645614624,1.731158971786499,5.400118827819824,-441594.90625,-0.44159490625,7.190086193912363e-07,-3.038611824420905,2.0403518492929513
