split,smoothing,clipping,point_filter,n_points,R2_NN,Pearson_NN,Spearman_NN,RMSE_NN,R2_Romero,Pearson_Romero,Spearman_Romero,RMSE_Romero,R2_improvement_NN_over_Romero
train,s1em4,raw,all,9848,0.00013429670132228833,0.011588645361831051,0.21306467137545368,1.1633598088894209e7,6.243421049361124e-6,-0.00249868386342913,0.1137058981903865,1.1633598107380616e7,0.0001280532802729272
train,s1em4,raw,interior_only,9164,0.00011460227894027708,-0.010705245393743998,0.2296444222375574,3.2338701201441824e6,0.00018520989404729644,-0.013609184180078409,0.19966265241171213,3.233870107254281e6,-7.060761510701935e-5
train,s1em4,middle99,all,9750,0.0070065826006010705,0.08370533197234852,0.213500439124231,602.705272605875,0.06374215920698352,-0.2524720958977121,0.11872755972241604,602.9044607889887,-0.05673557660638245
train,s1em4,middle99,interior_only,9074,0.0011330964838178617,0.03366149853791215,0.2332657946459021,123.66282133273289,0.000991703499883962,-0.03149132420022953,0.20487896184236426,123.7075964697575,0.0001413929839338998
train,s1em3,raw,all,9848,0.000420258953271101,0.020500218371302805,0.2299483784113594,879763.4104561495,5.199299959750525e-5,0.007210617144010993,0.12451729292513261,879763.4423667962,0.00036826595367359577
train,s1em3,raw,interior_only,9164,0.0003627569018544844,-0.01904617814298933,0.24752416227943302,270420.8713999731,9.362829225249729e-5,-0.009676171363328436,0.21334745000510824,270420.84371830215,0.00026912860960198715
train,s1em3,middle99,all,9750,0.00493239699335497,0.0702310258600497,0.22906699797706856,354.3896351870316,0.07164035534684438,-0.2676571600888801,0.13237045662661195,354.56303987667013,-0.0667079583534894
train,s1em3,middle99,interior_only,9074,0.00817400890474615,0.09041022566472307,0.25251310017419565,47.797935335189365,0.0008404681989641387,0.028990829566677437,0.2200086534768684,47.905558622746014,0.0073335407057820105
val,s1em4,raw,all,2106,0.00032830011389653176,0.01811905389076736,0.22407307993848327,12147.717606936365,0.02107115460788399,-0.14515906657141328,0.12933590212071264,12147.775796962653,-0.02074285449398746
val,s1em4,raw,interior_only,1960,0.0017439901971468288,0.0417611086675968,0.23174679487805866,3329.300227959174,0.0009160174946842908,0.030265780919782836,0.2235651172739363,3329.3684912573717,0.000827972702462538
val,s1em4,middle99,all,2086,0.006245204479289015,0.07902660614811327,0.21976099588433998,252.1044309691571,0.08744920468123017,-0.29571811693102296,0.1357193360455412,252.2891113327758,-0.08120400020194116
val,s1em4,middle99,interior_only,1942,0.0014398362923767514,0.03794517482337842,0.23405637603414828,59.604447974849535,0.000153812990832578,0.012402136543054911,0.2238120836038197,59.64568811095583,0.0012860233015441734
val,s1em3,raw,all,2106,1.3830038457909108e-5,0.0037188759669971663,0.24299298427343502,3.899096575002109e6,0.0008324209094713414,0.028851705486354552,0.13761187657384816,3.899096580049668e6,-0.0008185908710134323
val,s1em3,raw,interior_only,1960,0.0004116274907626426,-0.020288604948656343,0.2506748106819104,1.0829724790715503e6,7.220186790732545e-8,0.00026870405264402963,0.2379999052371639,1.0829724408248162e6,0.0004115552888947353
val,s1em3,middle99,all,2086,0.014263882060736456,0.11943149526291821,0.2445240044172828,562.9457453867295,0.06521751226520776,-0.25537719605557535,0.13457614985962166,563.1992347854848,-0.05095363020447131
val,s1em3,middle99,interior_only,1942,0.0012322380641989236,0.035103248627426545,0.2551235194405274,153.482265847057,0.002438627036531822,0.04938245676889539,0.23716579873871338,153.5266794232044,-0.0012063889723328983
test,s1em4,raw,all,2148,0.006833407039395204,0.08266442426700378,0.23288355521956405,908.8835144987842,0.13930552151625344,-0.3732365490091417,0.10855725818637217,909.1142030864356,-0.13247211447685825
test,s1em4,raw,interior_only,2000,0.0002021284706688005,0.014217189267531065,0.24345494486373623,207.90512417903534,2.9863375350066507e-9,5.4647392755799895e-5,0.19877125219281305,207.92186915841432,0.0002021254843312655
test,s1em4,middle99,all,2128,0.006860836939987617,0.08283016926209687,0.23642799289711106,388.57387693866,0.05231135534950146,-0.22871675791139892,0.11864189031116236,388.7585625655177,-0.04545051840951384
test,s1em4,middle99,interior_only,1980,0.0038569570370966103,0.06210440432929544,0.24760531988831966,65.4198418574073,0.0015261047695086095,-0.03906539094273356,0.2013802506666626,65.52236160446269,0.002330852267588001
test,s1em3,raw,all,2148,0.0046266767953099365,-0.0680196794707968,0.23227399482916,144892.36557930193,0.0030831539499854674,0.0555261555484032,0.11104741715922167,144892.22531921513,0.0015435228453244691
test,s1em3,raw,interior_only,2000,0.0025704561557412177,0.050699666229090876,0.24686208771552193,40260.19999424774,0.0003342738382766474,-0.018283157229446106,0.20502256975564243,40260.29510308898,0.0022361823174645704
test,s1em3,middle99,all,2128,0.0007105566256475344,0.026656268036758905,0.23169518390005597,482.86230050858796,0.092432776786194,-0.3040275921461636,0.1175120354791983,482.9675105569348,-0.09172222016054646
test,s1em3,middle99,interior_only,1980,0.007474404554150072,0.08645463870811139,0.2509065763227393,57.02064737963488,0.0002266728420853424,0.01505565814188614,0.20979275710240594,57.15202098349045,0.0072477317120647295
