iter,train_loss
1,1.9510348
2,1.9156078
3,1.8817506
4,1.8491957
5,1.8177452
6,1.7874452
7,1.7582928
8,1.7303993
9,1.7038962
10,1.6789165
11,1.6555631
12,1.6339335
13,1.6141579
14,1.5962605
15,1.5802203
16,1.5659337
17,1.5534183
18,1.5423723
19,1.5325814
20,1.5236758
21,1.5153021
22,1.5071335
23,1.4988538
24,1.4902221
25,1.4812263
26,1.4717906
27,1.4618773
28,1.4515983
29,1.4410057
30,1.4302698
31,1.4193354
32,1.4082904
33,1.3971843
34,1.386066
35,1.3748869
36,1.363664
37,1.3523586
38,1.3409065
39,1.3293129
40,1.3174889
41,1.3054689
42,1.293222
43,1.280765
44,1.2680582
45,1.2551317
46,1.2420174
47,1.228672
48,1.2151566
49,1.2013855
50,1.1874256
51,1.1874256
52,1.1874256
53,1.1755439
54,1.1636251
55,1.1515492
56,1.1393502
57,1.1269859
58,1.1144996
59,1.1018869
60,1.0891379
61,1.076197
62,1.0631269
63,1.0498971
64,1.0365229
65,1.0229926
66,1.0093023
67,0.99548954
68,0.9815027
69,0.96735156
70,0.95304775
71,0.9385993
72,0.92398024
73,0.90918654
74,0.89428043
75,0.8792131
76,0.8639536
77,0.84859866
78,0.8330877
79,0.817449
80,0.80170655
81,0.7858515
82,0.7698607
83,0.7537948
84,0.7376424
85,0.72143364
86,0.7051389
87,0.6887868
88,0.672425
89,0.6560348
90,0.63967
91,0.62331057
92,0.60702664
93,0.59081554
94,0.5747082
95,0.5587441
96,0.54296935
97,0.5273775
98,0.5120327
99,0.49697977
100,0.4822192
101,0.46782735
102,0.46782735
103,0.46782735
104,0.45615563
105,0.44484344
106,0.43392143
107,0.42336616
108,0.41322652
109,0.40349817
110,0.3942143
111,0.38540807
112,0.37707126
113,0.36922193
114,0.36190757
115,0.35516894
116,0.34904024
117,0.34352803
118,0.33867982
119,0.33445913
120,0.33083668
121,0.327829
122,0.3253761
123,0.3234134
124,0.3218729
125,0.32067788
126,0.31980202
127,0.31912884
128,0.31861562
129,0.31816188
130,0.3177612
131,0.3173108
132,0.31680802
133,0.31621823
134,0.31553647
135,0.31473985
136,0.3138582
137,0.31289655
138,0.3118555
139,0.31076333
140,0.3096283
141,0.30850947
142,0.30737638
143,0.30628562
144,0.30520737
145,0.30418926
146,0.30321094
147,0.30230275
148,0.30143517
149,0.30062437
150,0.2998483
151,0.29910818
152,0.29840302
153,0.29840302
154,0.29840302
155,0.29754514
156,0.29735386
157,0.29602814
158,0.2955949
159,0.2950563
160,0.2940986
161,0.29362935
162,0.2931117
163,0.29228118
164,0.29165012
165,0.29116625
166,0.2904552
167,0.2897424
168,0.28920326
169,0.28861973
170,0.28790584
171,0.2872861
172,0.28674418
173,0.28611082
174,0.28545487
175,0.28488427
176,0.28431663
177,0.28369197
178,0.28309843
179,0.2825475
180,0.28196007
181,0.2813619
