iter,train_loss
1,1.7496759
2,1.7152178
3,1.6823782
4,1.6507846
5,1.6203332
6,1.5910702
7,1.5629711
8,1.5361655
9,1.5107424
10,1.4868464
11,1.4646097
12,1.444161
13,1.4255445
14,1.4087409
15,1.393851
16,1.3807644
17,1.3693924
18,1.3595258
19,1.3508837
20,1.3431522
21,1.3359977
22,1.3289835
23,1.3218602
24,1.314421
25,1.3065418
26,1.2981856
27,1.2893786
28,1.2801617
29,1.270656
30,1.2609462
31,1.251096
32,1.241161
33,1.2311882
34,1.2211509
35,1.2110878
36,1.200945
37,1.1906778
38,1.1802875
39,1.1697265
40,1.1589408
41,1.1479865
42,1.1368032
43,1.1253839
44,1.1137332
45,1.1018821
46,1.0898014
47,1.077489
48,1.0649827
49,1.0522723
50,1.0393523
51,1.0393523
52,1.0393523
53,1.0284238
54,1.0173805
55,1.0061816
56,0.994871
57,0.98337
58,0.9717623
59,0.9600123
60,0.9481201
61,0.93605113
62,0.9238225
63,0.9114753
64,0.8989398
65,0.88626814
66,0.8734091
67,0.86045086
68,0.8472965
69,0.83396995
70,0.82052004
71,0.80686057
72,0.79309016
73,0.77917254
74,0.7650508
75,0.75081414
76,0.7363835
77,0.72179693
78,0.70711535
79,0.69223267
80,0.6772426
81,0.6621329
82,0.64693624
83,0.63155454
84,0.61612606
85,0.6005787
86,0.58503246
87,0.5693041
88,0.553571
89,0.537808
90,0.5220178
91,0.5062265
92,0.490459
93,0.47472683
94,0.45908043
95,0.44350135
96,0.4280775
97,0.41281357
98,0.3976528
99,0.38276523
100,0.3680995
101,0.35371235
102,0.35371235
103,0.35371235
104,0.3420177
105,0.33061194
106,0.3193678
107,0.30877176
108,0.29838806
109,0.28837666
110,0.27875128
111,0.26951793
112,0.26073796
113,0.25239053
114,0.24449834
115,0.2371208
116,0.23026435
117,0.22396956
118,0.21827303
119,0.21317647
120,0.20869929
121,0.20487139
122,0.20157501
123,0.1988771
124,0.19666614
125,0.19490756
126,0.1935483
127,0.19252062
128,0.19175312
129,0.19113933
130,0.19066064
131,0.19024019
132,0.18983197
133,0.18936302
134,0.18884356
135,0.18823013
136,0.18752818
137,0.18671912
138,0.18582483
139,0.18486005
140,0.1838298
141,0.1827485
142,0.18165429
143,0.18054669
144,0.17944424
145,0.17837836
146,0.17732172
147,0.17635395
148,0.17539844
149,0.17449945
150,0.17366129
151,0.17286667
152,0.17211875
153,0.17211875
154,0.17211875
155,0.17119698
156,0.17087227
157,0.16963825
158,0.1692164
159,0.16854928
160,0.16767342
161,0.16718365
162,0.16655277
163,0.16574852
164,0.16518159
165,0.1646008
166,0.1638688
167,0.16321851
168,0.1626719
169,0.16202399
170,0.16134039
171,0.16077487
172,0.16018274
173,0.15954454
174,0.1589561
175,0.15840109
176,0.15780143
177,0.15720159
178,0.15666741
179,0.15611027
180,0.15553355
181,0.15499677
182,0.15447396
183,0.1539247
184,0.1533987
185,0.15290111
186,0.15238114
187,0.15186866
188,0.15138817
189,0.15089431
190,0.1504032
191,0.1499412
192,0.14947316
193,0.14900544
194,0.14856513
195,0.14812113
196,0.14766857
197,0.14724512
198,0.14681625
199,0.146394
200,0.14598277
201,0.14556855
202,0.14516637
