iter,train_loss
1,0.35940358
2,0.35891613
3,0.35843462
4,0.35797232
5,0.3575522
6,0.35712096
7,0.3566964
8,0.35628265
9,0.3558635
10,0.35545546
11,0.35506082
12,0.35467744
13,0.3542393
14,0.35391107
15,0.35351235
16,0.3532159
17,0.3528702
18,0.3525328
19,0.35222116
20,0.3519061
21,0.35160774
22,0.35134184
23,0.35107476
24,0.3508214
25,0.35057434
26,0.35034063
27,0.350113
28,0.34990087
29,0.34968057
30,0.34946123
31,0.34925714
32,0.3490377
33,0.34883648
34,0.3486205
35,0.34842005
36,0.34820625
37,0.3479933
38,0.34777448
39,0.34755385
40,0.34733084
41,0.34710172
42,0.34688094
43,0.34664392
44,0.3464063
45,0.3461672
46,0.34592298
47,0.34569493
48,0.34542623
49,0.3451827
50,0.34491774
51,0.34491774
52,0.34491774
53,0.3446868
54,0.34445074
55,0.34421712
56,0.34397504
57,0.3437438
58,0.34351298
59,0.34327042
60,0.34302908
61,0.3427879
62,0.34253412
63,0.34228453
64,0.34203473
65,0.34177545
66,0.3415103
67,0.34124574
68,0.34098274
69,0.34071276
70,0.34044185
71,0.340155
72,0.33987117
73,0.33957568
74,0.33928367
75,0.33896908
76,0.33867162
77,0.33835396
78,0.33804289
79,0.33770987
80,0.33737358
81,0.33703864
82,0.33668852
83,0.33633402
84,0.33596957
85,0.33559585
86,0.33522478
87,0.33483577
88,0.33444148
89,0.33404025
90,0.3336236
91,0.3331862
92,0.33275145
93,0.332317
94,0.33187082
95,0.33140287
96,0.33093593
97,0.33045468
98,0.32996413
99,0.3294631
100,0.3289472
101,0.32841825
102,0.32841825
103,0.32841825
104,0.3280284
105,0.32763773
106,0.32723707
107,0.32683545
108,0.32642174
109,0.3260124
110,0.32559645
111,0.32516986
112,0.3247482
113,0.3243232
114,0.3238781
115,0.32344303
116,0.3229896
117,0.3225426
118,0.3220933
119,0.3216312
120,0.32116187
121,0.32070127
122,0.32021633
123,0.31973177
124,0.31924617
125,0.31875813
126,0.3182695
127,0.3177692
128,0.31727988
129,0.3167648
130,0.3162592
131,0.31574386
132,0.31521773
133,0.31470305
134,0.31418183
135,0.31364593
136,0.31310138
137,0.31257093
138,0.31201935
139,0.31148285
140,0.31092614
141,0.3103756
142,0.30981827
143,0.3092589
144,0.30869454
145,0.30812842
146,0.30761132
147,0.3069826
148,0.30640513
149,0.30583003
150,0.30525374
151,0.30468565
152,0.3041132
153,0.3041132
154,0.3041132
155,0.30364123
156,0.30317467
157,0.30271113
158,0.3022391
159,0.30176175
160,0.30130178
161,0.30083376
162,0.30037665
163,0.29990378
164,0.29944542
165,0.29899102
166,0.2985374
167,0.2980921
168,0.29765537
169,0.29719818
170,0.2967606
171,0.29632083
172,0.2958854
173,0.29545656
174,0.2950129
175,0.29459453
176,0.2941728
177,0.29375836
178,0.29334268
179,0.29293752
180,0.29252788
181,0.2921306
182,0.2917416
183,0.29134396
184,0.29095954
185,0.29058278
186,0.29020116
187,0.28982386
188,0.28945622
189,0.28908578
190,0.2887312
191,0.2883723
192,0.28802103
193,0.28767923
